# %ECSV 1.0
# ---
# datatype:
# - {name: filename, datatype: string}
# - {name: target, datatype: string}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# - {name: mjd, datatype: float64}
# - {name: dispname, datatype: string}
# - {name: slitname, datatype: string}
# - {name: airmass, datatype: float64}
# schema: astropy-2.0
filename target ra dec mjd dispname slitname airmass
hr5501.400_M1.1.0_LONG_SLIT.20250805_sensfunc.fits hr5501 221.37594166666665 0.7157936111111111 60892.01331765046 400_M1 1.0_LONG_SLIT 1.3
hr5501.400_M1.1.0_LONG_SLIT.20250811_sensfunc.fits hr5501 221.37564999999998 0.7160880555555555 60898.03854306713 400_M1 1.0_LONG_SLIT 1.56
hr5501.400_M1.1.0_LONG_SLIT.20250826_sensfunc.fits hr5501 221.37558749999997 0.7174472222222222 60913.000767349535 400_M1 1.0_LONG_SLIT 1.59
hr5501.400_M1.1.0_LONG_SLIT.20250828_sensfunc.fits hr5501 221.3750458333333 0.7154722222222222 60915.963245625 400_M1 1.0_LONG_SLIT 1.38
hr5501.400_M2.1.0_LONG_SLIT.20250805_sensfunc.fits hr5501 221.37595416666665 0.7158558333333332 60892.01495902778 400_M2 1.0_LONG_SLIT 1.31
hr5501.400_M2.1.0_LONG_SLIT.20250811_sensfunc.fits hr5501 221.37567499999997 0.7160830555555555 60898.040325243055 400_M2 1.0_LONG_SLIT 1.58
hr5501.400_M2.1.0_LONG_SLIT.20250826_sensfunc.fits hr5501 221.3756208333333 0.7174716666666666 60913.00261621528 400_M2 1.0_LONG_SLIT 1.61
hr5501.400_M2.1.0_LONG_SLIT.20250828_sensfunc.fits hr5501 221.3750333333333 0.7154330555555555 60915.964814976855 400_M2 1.0_LONG_SLIT 1.39
hr7596.400_M1.1.0_LONG_SLIT.20250807_sensfunc.fits hr7596 298.68821249999996 0.2679708333333333 60894.234423344904 400_M1 1.0_LONG_SLIT 1.36
hr7596.400_M1.1.0_LONG_SLIT.20250816_sensfunc.fits hr7596 298.6890374999999 0.2717819444444444 60903.15166737269 400_M1 1.0_LONG_SLIT 1.18
hr7596.400_M1.1.0_LONG_SLIT.20250903_sensfunc.fits hr7596 298.68611666666663 0.2734827777777778 60921.98405045139 400_M1 1.0_LONG_SLIT 1.38
hr7596.400_M1.1.0_LONG_SLIT.20250904_sensfunc.fits hr7596 298.68616666666657 0.2734216666666667 60922.97708201389 400_M1 1.0_LONG_SLIT 1.4
hr7596.400_M1.1.0_LONG_SLIT.20250912_sensfunc.fits hr7596 298.6849249999999 0.2754963888888889 60930.97141586806 400_M1 1.0_LONG_SLIT 1.32
hr7596.400_M1.1.0_LONG_SLIT.20250914_sensfunc.fits hr7596 298.68511666666666 0.2738847222222222 60932.97268384259 400_M1 1.0_LONG_SLIT 1.29
hr7596.400_M1.1.0_LONG_SLIT.20250916_sensfunc.fits hr7596 298.6866708333333 0.2719447222222222 60934.96754835648 400_M1 1.0_LONG_SLIT 1.29
hr7596.400_M1.1.0_LONG_SLIT.20250917_sensfunc.fits hr7596 298.6866041666666 0.27333444444444444 60935.97747837963 400_M1 1.0_LONG_SLIT 1.25
hr7596.400_M1.1.0_LONG_SLIT.20250925_sensfunc.fits hr7596 298.6863541666666 0.27121277777777775 60943.97187101852 400_M1 1.0_LONG_SLIT 1.21
hr7596.400_M1.1.0_LONG_SLIT.20250927_sensfunc.fits hr7596 298.6869666666666 0.2704083333333333 60945.9712919213 400_M1 1.0_LONG_SLIT 1.2
hr7596.400_M2.1.0_LONG_SLIT.20250807_sensfunc.fits hr7596 298.68812499999996 0.2678911111111111 60894.23609261574 400_M2 1.0_LONG_SLIT 1.37
hr7596.400_M2.1.0_LONG_SLIT.20250903_sensfunc.fits hr7596 298.687575 0.27242305555555557 60921.99002576389 400_M2 1.0_LONG_SLIT 1.35
hr7596.400_M2.1.0_LONG_SLIT.20250904_sensfunc.fits hr7596 298.68794999999994 0.2723086111111111 60922.98162115741 400_M2 1.0_LONG_SLIT 1.38
hr7596.400_M2.1.0_LONG_SLIT.20250912_sensfunc.fits hr7596 298.68666249999995 0.2720411111111111 60930.975049664354 400_M2 1.0_LONG_SLIT 1.3
hr7596.400_M2.1.0_LONG_SLIT.20250914_sensfunc.fits hr7596 298.68672083333325 0.27261277777777776 60932.97537006944 400_M2 1.0_LONG_SLIT 1.28
hr7596.400_M2.1.0_LONG_SLIT.20250916_sensfunc.fits hr7596 298.68666249999995 0.27194666666666667 60934.969213414355 400_M2 1.0_LONG_SLIT 1.28
hr7596.400_M2.1.0_LONG_SLIT.20250917_sensfunc.fits hr7596 298.6866666666666 0.27328583333333334 60935.979218125 400_M2 1.0_LONG_SLIT 1.24
